word,valence_condition,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP,freq_BNC_strat,valence_strat,arousal_strat,set,iter,valence_abs
lonely,-,6,2,26,17.512488,32.72426,34.3281,41.666667,0,1,-99,-99,-99,-99,-99,-99,-99,2.12,5.05,4.91,4.91,6.87,4.72,5.89,3.2,1.08,3.24,-99,-99,-99,3,2,2,1,15,1.88
troubled,-,8,2,31,13.306693,5.784937,37.3763,6.784314,0,1,-99,-99,-99,-99,-99,-99,-99,2.23,5.6,5.39,4.79,6.63,4.55,5.02,2.17,1.31,3.17,-99,-99,-99,3,2,2,1,15,1.77
awful,-,5,2,17,30.40959,64.798143,44.1753,63.411765,0,1,-99,-99,-99,-99,-99,-99,-99,1.37,4.8,3.58,4.52,6.77,3.48,4.5,1.16,1.43,3.4,-99,-99,-99,3,1,1,1,15,2.63
toxic,-,5,2,3,12.147852,5.613785,-99,4.901961,0,1,-99,-99,-99,-99,-99,-99,-99,1.5,4.98,4.94,4.41,5.58,4.17,3.69,1.8,1.81,3.28,-99,-99,-99,3,1,1,1,15,2.5
detached,-,8,2,12,10.15984,1.471907,9.95642,1.54902,0,1,-99,-99,-99,-99,-99,-99,-99,1.68,3.99,4.96,4.49,6.51,3.66,4.23,2.42,2,2.47,-99,-99,-99,3,1,1,1,15,2.32
inadequate,-,10,4,32,23.166833,1.334986,6.46119,1.862745,0,1,-99,-99,-99,-99,-99,-99,-99,1.77,4.89,5.13,3.17,6.72,4,3.96,1.65,1.26,3.55,-99,-99,-99,3,1,1,1,15,2.23
offensive,-,9,3,9,14.735265,5.750707,12.4437,6.411765,0,1,-99,-99,-99,-99,-99,-99,-99,1.64,4.9,6.14,4.5,6.9,4.81,4.62,1.39,1.84,3.56,-99,-99,-99,3,1,1,1,15,2.36
nasty,-,5,2,5,17.942058,23.037058,5.87259,22.568627,0,1,-99,-99,-99,-99,-99,-99,-99,1.46,5.44,5.58,3.88,6.75,3.9,4.07,1.47,1.26,2.75,-99,-99,-99,3,1,2,1,15,2.54
violent,-,7,3,41,27.822178,13.144473,41.2038,16.666667,0,1,-99,-99,-99,-99,-99,-99,-99,1.8,6.31,6.11,5.68,6.08,6.16,3.38,1.76,1.37,2.92,-99,-99,-99,3,1,2,1,15,2.2
useless,-,7,2,17,13.166833,13.247164,33.2157,19.941176,0,1,-99,-99,-99,-99,-99,-99,-99,1.33,5.31,4.89,4.69,6.61,4.58,4.85,1.52,1.17,1.82,-99,-99,-99,3,1,2,1,15,2.67
unpleasant,-,10,3,15,13.046953,6.435315,18.1636,6.098039,0,1,-99,-99,-99,-99,-99,-99,-99,1.84,5.12,5.36,3.1,6.4,3.93,4.25,1.6,1.43,3.49,-99,-99,-99,3,1,2,1,15,2.16
rejected,-,8,3,33,39.78022,7.530688,16.8021,6.607843,0,1,-99,-99,-99,-99,-99,-99,-99,1.58,5.54,5.3,3.71,6.65,6.05,5.61,1.57,1.05,2.02,-99,-99,-99,3,1,2,1,15,2.42
immoral,-,7,3,5,3.206793,2.704201,3.99602,2.607843,0,1,-99,-99,-99,-99,-99,-99,-99,1.79,5.45,5.19,2.96,6.33,5.68,4.61,2.13,1.76,3.1,-99,-99,-99,2,1,2,1,15,2.21
helpless,-,8,2,21,8.321678,11.775257,23.2134,11.137255,0,1,-99,-99,-99,-99,-99,-99,-99,1.56,5.24,5.1,4.01,5.6,4.72,4.08,1.97,1.06,2.14,-99,-99,-99,2,1,2,1,15,2.44
vicious,-,7,2,17,8.831169,8.797212,9.47858,8.588235,0,1,-99,-99,-99,-99,-99,-99,-99,1.46,5.44,5.03,5.24,6.62,5.31,4.46,1.5,1.43,4.65,-99,-99,-99,2,1,2,1,15,2.54
cynical,-,7,3,9,7.602398,3.662653,4.86152,3.666667,0,1,-99,-99,-99,-99,-99,-99,-99,1.65,4.96,6.17,2.92,6.43,4.97,4.71,1.69,1.93,3.43,-99,-99,-99,2,1,2,1,15,2.35
greedy,-,6,2,5,4.935065,5.545324,6.2816,6.627451,0,1,-99,-99,-99,-99,-99,-99,-99,1.84,5.71,6.19,5.72,7,3.68,4.41,1.51,1.07,4.33,-99,-99,-99,2,1,2,1,15,2.16
timid,-,5,2,5,2.997003,-99,-99,1.509804,0,1,-99,-99,-99,-99,-99,-99,-99,2.84,3.84,6.38,4.46,6.58,3.1,5.15,3.29,1.91,3.33,-99,-99,-99,2,2,1,1,15,1.16
insecure,-,8,3,3,3.396603,7.975683,-99,4.058824,0,1,-99,-99,-99,-99,-99,-99,-99,2.32,4.31,4.83,4.58,6.96,5.28,5.33,1.67,1.83,2.65,-99,-99,-99,2,2,1,1,15,1.68
feeble,-,6,2,8,4.415584,1.369216,23.9025,1.686275,0,1,-99,-99,-99,-99,-99,-99,-99,2.61,4.2,5.94,4.64,4.68,3.67,3.38,2.58,1.25,1.9,-99,-99,-99,2,2,1,1,15,1.39
unpopular,-,9,4,6,6.413586,1.334986,3.22308,1.294118,0,1,-99,-99,-99,-99,-99,-99,-99,2.33,4.23,5.27,4.22,6.16,4.48,4.09,3.03,2.28,3.48,-99,-99,-99,2,2,1,1,15,1.67
lazy,-,4,2,9,8.251748,6.811849,11.1724,11.588235,0,1,-99,-99,-99,-99,-99,-99,-99,2.18,3.14,5.4,4.11,5.99,4.73,3.26,1.93,1.75,3.57,-99,-99,-99,2,2,1,1,15,1.82
unwise,-,6,2,3,4.125874,-99,3.91057,0.941176,0,1,-99,-99,-99,-99,-99,-99,-99,1.82,4.78,3.87,4.17,5.98,3.41,3.26,1.68,1.12,2.68,-99,-99,-99,2,1,1,1,15,2.18
troublesome,-,11,3,7,4.275724,-99,10.1621,1.54902,0,1,-99,-99,-99,-99,-99,-99,-99,2.04,4.87,4.72,4.07,6.94,4.34,3.54,1.98,1.6,3.22,-99,-99,-99,2,1,1,1,15,1.96
unreliable,-,10,4,4,4.865135,1.74575,-99,1.666667,0,1,-99,-99,-99,-99,-99,-99,-99,1.18,4.43,5.67,4.42,7,3.98,3.33,1.09,1.11,3.08,-99,-99,-99,2,1,1,1,15,2.82
hopeless,-,8,2,14,7.552448,9.276438,19.09,8.941176,0,1,-99,-99,-99,-99,-99,-99,-99,1.41,3.6,6.29,4.69,6.71,4.65,5.22,1.51,1.08,2.81,-99,-99,-99,2,1,1,1,15,2.59
insensitive,-,11,4,3,3.216783,7.496457,-99,3.745098,0,1,-99,-99,-99,-99,-99,-99,-99,1.75,4.63,5.24,2.99,7,4.5,4.6,1.93,1.8,2.37,-99,-99,-99,2,1,1,1,15,2.25
fearful,-,7,2,13,7.252747,-99,27.624,2.156863,0,1,-99,-99,-99,-99,-99,-99,-99,2.24,5.56,5.39,3.98,5.85,5.09,4.54,3.12,1.13,2.46,-99,-99,-99,2,2,2,1,15,1.76
superficial,-,11,4,7,7.652348,3.251888,7.77131,2.901961,0,1,-99,-99,-99,-99,-99,-99,-99,2.3,4.81,5.39,4.44,5.96,4.24,3.96,2.26,1.48,4.06,-99,-99,-99,2,2,2,1,15,1.7
jealous,-,7,2,4,9.59041,56.240544,23.4215,38.27451,0,1,-99,-99,-99,-99,-99,-99,-99,2.45,5.47,4.94,5.14,6.83,5.29,5.12,1.78,1.48,3.34,-99,-99,-99,2,2,2,1,15,1.55
messy,-,5,2,3,3.566434,7.462227,-99,6.862745,0,1,-99,-99,-99,-99,-99,-99,-99,2.71,5.79,5.56,4.23,7,4.02,3.33,3.05,2.15,2.84,-99,-99,-99,2,2,2,1,15,1.29
stern,-,5,1,25,7.892108,2.909584,32.2846,6.411765,1,1,2.68,4.88,4.17,4,5.74,3.57,3.6,2.78,4.92,4.9,5.19,6.18,3.54,3.17,2.96,2.83,5.52,0.566667,0.133333,1.278666,2,2,2,1,15,1.22
thoughtless,-,11,2,3,1.018981,2.088054,4.80297,1.392157,0,1,-99,-99,-99,-99,-99,-99,-99,1.72,3.9,4.71,4.03,6.87,3.46,3.04,2.04,1.44,3.97,-99,-99,-99,1,1,1,1,15,2.28
unhealthy,-,9,3,4,2.827173,2.088054,3.12023,1.627451,0,1,-99,-99,-99,-99,-99,-99,-99,1.46,4.73,6.24,5.91,6.75,5.61,3.41,2.13,1.48,2.63,-99,-99,-99,1,1,1,1,15,2.54
unsophisticated,-,15,6,1,1.178821,-99,-99,0.294118,0,1,-99,-99,-99,-99,-99,-99,-99,1.75,4.82,5.71,4.6,7,3.5,3.18,1.87,1.4,3.77,-99,-99,-99,1,1,1,1,15,2.25
unkind,-,6,2,3,2.697303,-99,6.32116,1.392157,0,1,-99,-99,-99,-99,-99,-99,-99,1.5,4.97,5.11,4.48,6.46,3.83,5.63,1.08,1.78,3.05,-99,-99,-99,1,1,1,1,15,2.5
uninspiring,-,11,4,-99,0.779221,-99,-99,0.196078,0,1,-99,-99,-99,-99,-99,-99,-99,1.91,4.29,4.65,4.95,6.66,2.81,3.91,2.41,1.48,2.4,-99,-99,-99,1,1,1,1,15,2.09
compulsive,-,10,3,11,2.447552,2.327667,-99,1.921569,0,1,-99,-99,-99,-99,-99,-99,-99,2.91,4.72,4.71,5.06,5.72,4.95,3.82,3.05,3.13,3.13,-99,-99,-99,1,2,2,1,15,1.09
untrustworthy,-,13,4,-99,0.609391,-99,-99,0.411765,0,1,-99,-99,-99,-99,-99,-99,-99,2.32,4.85,4.95,3.47,6.6,4.08,3.99,1.16,1.25,3.35,-99,-99,-99,1,2,2,1,15,1.68
disagreeable,-,12,5,1,1.888112,-99,18.0742,0.960784,0,1,-99,-99,-99,-99,-99,-99,-99,2.41,5.59,5.47,5.1,6.65,5.47,4.5,2.45,1.9,3.56,-99,-99,-99,1,2,2,1,15,1.59
disobedient,-,11,5,2,0.749251,-99,-99,0.215686,0,1,-99,-99,-99,-99,-99,-99,-99,2.34,5.87,5.09,4.6,6.84,3.78,3.96,2.29,2.33,3.99,-99,-99,-99,1,2,2,1,15,1.66
unsympathetic,-,13,5,3,1.618382,-99,1.39793,0.431373,0,1,-99,-99,-99,-99,-99,-99,-99,2.13,5.14,4.31,4.5,6.11,3.63,4.04,1.91,1.6,2.86,-99,-99,-99,1,2,2,1,15,1.87
resentful,-,9,3,3,2.617383,-99,1.90505,0.568627,0,1,-99,-99,-99,-99,-99,-99,-99,1.95,5.86,4.34,4.16,5.33,3.81,5.41,1.74,1.71,4.66,-99,-99,-99,1,1,2,1,15,2.05
