word,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP
squeak,6,1,1,1.948052,1.266525,1.43907,2.372549,1,0,3.58,3.11,4.79,5.17,6,2.73,2.29,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.73913,0,2.967015
squeamish,9,2,1,0.649351,-99,-99,0.882353,0,1,-99,-99,-99,-99,-99,-99,-99,2.47,5.52,5.93,4.03,6.68,2.86,2.42,2.59,1.83,3.01,-99,-99,-99
squirrel,8,2,1,2.367632,2.498819,4.07908,5.470588,1,0,4.75,2.35,6.21,6.1,6.6,3.44,1.96,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.962963,0.1,3.067707
stench,6,1,1,2.877123,1.916902,1.84729,2.215686,1,0,2.28,4.6,3.8,3.87,5.16,2.62,2.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.84375,0.071429,2.475224
stingy,6,2,1,0.34965,-99,-99,1.235294,0,1,-99,-99,-99,-99,-99,-99,-99,2.19,4.99,4.98,4.33,6.85,2.4,3.02,2.36,1.56,3.29,-99,-99,-99
studious,8,3,1,0.599401,-99,3.0514,0.117647,0,1,-99,-99,-99,-99,-99,-99,-99,6,3.89,6.69,4.39,6.54,4.13,4.09,6.16,6.12,4.81,-99,-99,-99
superstitious,13,4,1,1.858142,1.951133,8.73412,3.431373,0,1,-99,-99,-99,-99,-99,-99,-99,2.73,4.29,5.13,4.46,5.74,3.05,1.85,2.38,2.05,3.02,-99,-99,-99
tenacious,9,3,1,1.158841,-99,2.52451,0.490196,0,1,-99,-99,-99,-99,-99,-99,-99,4.64,4.6,4.26,4.48,4.36,2.73,3.18,4.49,4.82,3.84,-99,-99,-99
tidy,4,2,1,10.609391,2.464589,3.34966,3.705882,0,1,-99,-99,-99,-99,-99,-99,-99,5.21,3.25,5.62,5.27,6.9,3.99,2.68,6.24,5.39,5.54,-99,-99,-99
tornado,7,3,1,1.648352,1.74575,-99,2.54902,1,0,2.46,5.07,6.33,6.11,6.5,3.71,3.62,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.666667,0.045455,2.121349
touchy,6,2,1,1.008991,3.868035,-99,3.137255,0,1,-99,-99,-99,-99,-99,-99,-99,3.36,4.76,5.13,4.12,6.8,3.37,4.81,2.78,2.09,3.58,-99,-99,-99
trauma,6,2,1,5.204795,12.288713,-99,17.039216,1,0,1.81,5.96,4.74,4.14,5.74,4.59,5.62,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.62963,0.107143,1.572739
trustful,8,2,1,0.04995,-99,-99,0.098039,0,1,-99,-99,-99,-99,-99,-99,-99,6.19,2.72,4.64,4.54,6.65,5.61,3.9,6.37,6.24,5.3,-99,-99,-99
truthful,8,2,1,2.107892,2.088054,4.62813,2.137255,0,1,-99,-99,-99,-99,-99,-99,-99,5.77,2,4.68,5.44,6.03,4.95,4.2,6.27,6.83,5.74,-99,-99,-99
uncivil,7,3,1,0.08991,-99,-99,0.058824,0,1,-99,-99,-99,-99,-99,-99,-99,1.8,4.78,5.01,5.24,5.55,4.62,2.97,2.08,1.09,2.36,-99,-99,-99
underhanded,11,4,1,0.06993,1.574598,-99,0.686275,0,1,-99,-99,-99,-99,-99,-99,-99,2.49,4.12,4.12,4.04,5.32,4.5,4.39,2.24,2.82,3.98,-99,-99,-99
unfaithful,10,3,1,1.318681,3.114966,1.97071,2.352941,0,1,-99,-99,-99,-99,-99,-99,-99,1.15,5.33,4.45,4.12,6.81,4.2,4.36,1.26,1.23,2.22,-99,-99,-99
ungracious,10,3,1,0.34965,-99,1.71517,0.098039,0,1,-99,-99,-99,-99,-99,-99,-99,1.66,4.73,4.77,4.46,5.32,3.7,4.22,1.2,1.44,4.18,-99,-99,-99
unimaginative,13,6,1,1.188811,-99,-99,0.294118,0,1,-99,-99,-99,-99,-99,-99,-99,1.98,4.3,3.92,3.62,5.87,3.18,3.85,2.03,1.39,3.45,-99,-99,-99
uninteresting,13,5,1,1.378621,-99,3.54982,0.313725,0,1,-99,-99,-99,-99,-99,-99,-99,2.38,4.44,4.58,3.74,5.81,4.23,2.23,1.48,1.07,3.98,-99,-99,-99
unlawful,8,3,1,9.000999,-99,3.8457,0.764706,0,1,-99,-99,-99,-99,-99,-99,-99,2.05,4.8,5.71,4.13,6.07,4.06,2.44,2.06,1.99,3.15,-99,-99,-99
