"word","freq_BNC","valence","researcher_remove","condition"
"conformist",0.639361,2.44,"","-"
"regretful",0.629371,2.07,"","-"
"quarrelsome",0.619381,1.72,"","-"
"egocentric",0.609391,2.01,"","-"
"untrustworthy",0.609391,2.32,"","-"
"snobbish",0.599401,1.71,"","-"
"unenthusiastic",0.599401,2.1,"","-"
"conceited",0.579421,2.38,"","-"
"unemotional",0.579421,2.69,"","-"
"impolite",0.559441,1.63,"","-"
"bigoted",0.559441,1.67,"","-"
"fretful",0.559441,2.48,"","-"
"disrespectful",0.549451,1.47,"","-"
"egotistical",0.549451,2.53,"","-"
"antisocial",0.519481,1.42,"","-"
"putrid",0.509491,1.86,"","-"
"self-critical",0.509491,2.99,"","-"
"cranky",0.4995,2.11,"","-"
"impudent",0.4995,2.82,"","-"
"absent-minded",0.48951,2.42,"","-"
"faithless",0.48951,2.5,"","-"
"choosy",0.48951,2.98,"","-"
"distrustful",0.47952,1.6,"","-"
"boastful",0.47952,2.25,"","-"
"unappealing",0.46953,1.6,"","-"
"bashful",0.46953,3.04,"","-"
"joyless",0.45954,2.09,"","-"
"miserly",0.45954,2.41,"","-"
"unsocial",0.44955,1.94,"","-"
"melancholic",0.43956,3.04,"","-"
"unsystematic",0.43956,3.2,"","-"
"seasick",0.40959,1.76,"","-"
"lonesome",0.3996,2.34,"","-"
