volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
86,25,104.91208909999114,106.11209250001703,0.089618,-0.065521,feedback,3,0,False,0.1793827659484187,0.44366666666666665,-0.33333333333333326
87,25,106.133728899993,107.3337328000227,0.124427,-0.004661,feedback,3,0,False,0.19718451920312838,0.44366666666666665,-0.33333333333333326
88,25,107.29490940005053,108.49491290007718,0.297479,0.118847,feedback,3,0,False,0.2115481323564166,0.44366666666666665,-0.33333333333333326
89,25,108.50431310001295,109.70431680004113,0.289712,0.201434,feedback,3,0,False,0.23266677625707513,0.44366666666666665,-0.33333333333333326
90,25,109.71728530002292,110.91728890005034,0.331446,0.32447,feedback,3,0,False,0.24248946343129651,0.44366666666666665,-0.33333333333333326
91,25,110.93127960001584,112.1312831000425,0.15031,0.220727,feedback,3,0,False,0.2432414256407197,0.44366666666666665,-0.33333333333333326
92,25,112.1336306000594,113.33363420008682,0.037203,0.091433,feedback,3,0,False,0.23565098371111726,0.44366666666666665,-0.33333333333333326
93,25,113.32789110008162,114.52789469999261,-0.159169,-0.164795,feedback,3,0,False,0.22905111193140154,0.44366666666666665,-0.33333333333333326
94,25,114.54445759998634,115.744461100013,-0.324217,-0.42239,feedback,3,0,False,0.2297162418666039,0.44366666666666665,-0.33333333333333326
95,25,115.71065520006232,116.9106589000905,-0.299152,-0.682987,feedback,3,0,False,0.24063994503109482,0.44366666666666665,-0.33333333333333326
96,25,116.9280344999861,118.12803780001123,-0.228357,-0.731118,feedback,3,0,False,0.2873532362825665,0.44366666666666665,-0.33333333333333326
97,25,118.1107632999774,119.31076690000482,-0.296461,-0.658018,feedback,3,0,False,0.34504361244904236,0.44366666666666665,-0.33333333333333326
98,25,119.31101689999923,120.51102060002741,-0.171293,-0.57362,feedback,3,0,False,0.38527403573287666,0.44366666666666665,-0.33333333333333326
99,25,120.493127200054,121.69313100008294,-0.053871,-0.542261,feedback,3,0,False,0.4286419686213956,0.44366666666666665,-0.33333333333333326
100,25,121.73320720007177,122.93321089998354,0.128481,-0.446998,feedback,4,0,False,0.0,0.4880333333333333,-0.33333333333333326
101,25,122.94529760000296,124.14530120003037,0.197465,-0.452117,feedback,4,0,False,0.060031415588407674,0.4880333333333333,-0.33333333333333326
102,25,124.16762060008477,125.3676243999973,0.299309,-0.445169,feedback,4,0,False,0.1368277955330837,0.4880333333333333,-0.33333333333333326
103,25,125.36427330004517,126.56427710007411,0.464993,-0.2588,feedback,4,0,False,0.21189974882291548,0.4880333333333333,-0.33333333333333326
104,25,126.52901960001327,127.72902320004069,0.620056,0.08467,feedback,4,0,False,0.28991938521117605,0.4880333333333333,-0.33333333333333326
105,25,127.74516420008149,128.94516789999324,0.627175,0.27585,feedback,4,0,False,0.35135338612665135,0.4880333333333333,-0.33333333333333326
106,25,128.92919210006949,130.12920060001778,0.614655,0.357697,feedback,4,0,False,0.3892236732862451,0.4880333333333333,-0.33333333333333326
107,25,130.16493040008936,131.36493400000035,0.508121,0.394611,feedback,4,0,False,0.4178153728140304,0.4880333333333333,-0.33333333333333326
108,25,131.36993709998205,132.5699406000087,0.53582,0.3099,feedback,4,0,False,0.4296562323127091,0.4880333333333333,-0.33333333333333326
109,25,132.56042930006515,133.76043289997614,0.496983,0.237351,feedback,4,0,False,0.4540087699206097,0.4880333333333333,-0.33333333333333326
110,25,133.76720630005002,134.96720990007742,0.498534,0.175461,feedback,4,0,False,0.48470358245820466,0.4880333333333333,-0.33333333333333326
111,25,134.92974350007717,136.12974729998967,0.524171,0.155702,feedback,5,0,False,0.0,0.5368366666666667,-0.33333333333333326
112,25,136.12790130008943,137.32790500000118,0.599464,0.248504,feedback,5,0,False,0.039718286029770865,0.5368366666666667,-0.33333333333333326
113,25,137.343952300027,138.54395600005518,0.52367,0.184379,feedback,5,0,False,0.07998993482390301,0.5368366666666667,-0.33333333333333326
114,25,138.59444050001912,139.79444430004804,0.543973,0.176898,feedback,5,0,False,0.1224619326408308,0.5368366666666667,-0.33333333333333326
115,25,139.77788110007532,140.97788479998707,0.585234,0.2596,feedback,5,0,False,0.16585911909025788,0.5368366666666667,-0.33333333333333326
116,25,140.9828801000258,142.18288390005472,0.602925,0.18653,feedback,5,0,False,0.20548926194690714,0.5368366666666667,-0.33333333333333326
117,25,142.15035240002908,143.35035600005648,0.661113,0.262019,feedback,5,0,False,0.254717271077492,0.5368366666666667,-0.33333333333333326
118,25,143.3481266000308,144.5481302000582,0.566275,0.130354,feedback,5,0,False,0.3018998815218096,0.5368366666666667,-0.33333333333333326
119,25,144.5269369999878,145.7269404000137,0.441878,0.063279,feedback,5,0,False,0.35343633841541655,0.5368366666666667,-0.33333333333333326
